Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index
1697515282814.0,39.9481436,116.3362351,0.5422867,10.479421,1.5424645,0.23808642,-0.39188385,0.097871095,9735
1697515282818.0,39.9481354,116.3361802,0.5422867,10.479421,1.5424645,0.23808642,-0.39188385,0.097871095,9735
1697515282826.0,39.9481204,116.3361232,0.5422867,10.479421,1.5424645,0.23808642,-0.39188385,0.097871095,9735
1697515282831.0,39.9481111,116.3360602,0.5422867,10.479421,1.5424645,0.23808642,-0.39188385,0.097871095,9735
1697515282839.0,39.9480984,116.3359978,2.3786395,12.310986,-0.60573304,-0.071106344,-0.14607428,0.076965295,9736
1697515282848.0,39.9480858,116.3359427,2.3786395,12.310986,-0.60573304,-0.071106344,-0.14607428,0.076965295,9736
1697515282848.0,39.9480733,116.33588,2.3786395,12.310986,-0.60573304,-0.071106344,-0.14607428,0.076965295,9736
1697515282860.0,39.9480738,116.3357293,2.6928782,12.89517,-0.84934306,-0.49321705,0.1893506,0.044075284,9737
1697515282865.0,39.9480674,116.3356619,2.6928782,12.89517,-0.84934306,-0.49321705,0.1893506,0.044075284,9737
1697515282867.0,39.9480603,116.3355977,2.6928782,12.89517,-0.84934306,-0.49321705,0.1893506,0.044075284,9737
1697515282874.0,39.948053,116.3355352,2.6928782,12.89517,-0.84934306,-0.49321705,0.1893506,0.044075284,9737
1697515282927.0,39.948042,116.3354916,0.35793316,9.597756,4.9021277,-1.2479564,0.013848428,-0.16391744,9740
1697515282927.0,39.9480261,116.3354582,0.35793316,9.597756,4.9021277,-1.2479564,0.013848428,-0.16391744,9740
1697515282933.0,39.9480223,116.3354178,0.40701428,8.108562,6.213552,-0.80267614,-0.38282913,-0.24567643,9741
1697515282936.0,39.9480279,116.3353749,0.40701428,8.108562,6.213552,-0.80267614,-0.38282913,-0.24567643,9741
1697515282936.0,39.9480496,116.3353223,0.40701428,8.108562,6.213552,-0.80267614,-0.38282913,-0.24567643,9741
1697515282936.0,39.9480763,116.3352722,0.40701428,8.108562,6.213552,-0.80267614,-0.38282913,-0.24567643,9741
1697515282936.0,39.9480973,116.335224,0.40701428,8.108562,6.213552,-0.80267614,-0.38282913,-0.24567643,9741
1697515282936.0,39.9481045,116.3351713,0.40701428,8.108562,6.213552,-0.80267614,-0.38282913,-0.24567643,9741
1697515282936.0,39.9480969,116.3351166,0.40701428,8.108562,6.213552,-0.80267614,-0.38282913,-0.24567643,9741
1697515282936.0,39.9480807,116.3350574,0.40701428,8.108562,6.213552,-0.80267614,-0.38282913,-0.24567643,9741
1697515283013.0,39.9480358,116.3349524,-1.4024036,8.034941,1.79206,0.68616295,0.6245108,-0.12703268,9745
1697515283024.0,39.9480135,116.3349046,-1.4024036,8.034941,1.79206,0.68616295,0.6245108,-0.12703268,9745
1697515283037.0,39.9479955,116.334856,-1.4903905,7.8158712,1.6938977,0.33076435,0.25912538,0.03715107,9746
1697515283709.0,39.9479789,116.3348091,1.5286977,12.474389,1.2946646,-0.40892807,0.08295741,-0.041412123,9779
1697515284703.0,39.947965,116.3347724,0.29328972,8.887277,2.8981812,0.06724477,-0.10253163,-0.034221593,9829
1697515285739.0,39.9479447,116.3347058,0.9804256,9.227253,1.7812861,0.15020217,-0.037950017,0.100001626,9881
1697515286695.0,39.9479266,116.334644,0.18076223,8.963891,3.4769795,-0.122105844,-0.12436953,-0.015046849,9929
1697515287701.0,39.9479081,116.3345833,0.48243165,9.325416,2.8287494,-0.18602167,-0.12450269,-0.04820318,9978
1697515288702.0,39.9478927,116.3345223,0.80086046,9.151836,2.8712463,-0.1548627,-0.047936864,-0.0041278964,10029
1697515289699.0,39.9478822,116.3344628,0.82240826,8.986636,3.2375593,0.072571084,-0.06285056,-0.045273706,10078
1697515290755.0,39.9478761,116.3344048,1.2497733,8.990826,2.6557682,-0.13369058,-0.0022636852,-0.034887385,10131
1697515291708.0,39.947872,116.3343475,0.93972415,9.512163,2.0099323,-0.103730045,0.020905798,0.069242135,10179
1697515292693.0,39.9478627,116.3342909,0.22924481,8.286332,4.0066967,0.07150582,0.29854015,-0.13036163,10228
1697515293695.0,39.9478519,116.3342406,1.0271125,10.6117,1.3533225,-0.3296991,0.0627174,-0.079495296,10278
1697515329883.0,39.9478326,116.3341493,0.15382746,8.274361,3.8660371,-0.11038794,0.092012145,-0.06245108,12086
1697515329886.0,39.947819,116.3341063,0.15382746,8.274361,3.8660371,-0.11038794,0.092012145,-0.06245108,12086
1697515329893.0,39.9478147,116.3340655,0.219668,8.104373,3.6152446,0.1514006,0.042876862,-0.06391582,12087
1697515329895.0,39.947812,116.334027,0.219668,8.104373,3.6152446,0.1514006,0.042876862,-0.06391582,12087
1697515329895.0,39.9478041,116.3339846,0.219668,8.104373,3.6152446,0.1514006,0.042876862,-0.06391582,12087
1697515329905.0,39.9478019,116.3339402,0.219668,8.104373,3.6152446,0.1514006,0.042876862,-0.06391582,12087
1697515329922.0,39.9478126,116.3339008,0.6584055,8.248025,2.6497827,0.30732855,0.055660024,-0.06751108,12088
1697515329922.0,39.9478334,116.3338653,0.6584055,8.248025,2.6497827,0.30732855,0.055660024,-0.06751108,12088
1697515329931.0,39.9478606,116.3338397,0.6584055,8.248025,2.6497827,0.30732855,0.055660024,-0.06751108,12088
1697515329934.0,39.9478943,116.333825,0.9379285,8.4904375,2.1452048,0.2334259,0.014780533,-0.114649,12089
1697515329941.0,39.9479275,116.3338122,0.9379285,8.4904375,2.1452048,0.2334259,0.014780533,-0.114649,12089
1697515329944.0,39.9479668,116.333797,0.9379285,8.4904375,2.1452048,0.2334259,0.014780533,-0.114649,12089
1697515329951.0,39.9480075,116.3337778,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329951.0,39.948048,116.3337632,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329951.0,39.9480856,116.3337463,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329951.0,39.9481221,116.3337318,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329951.0,39.9481593,116.3337254,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329951.0,39.9481982,116.3337237,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329955.0,39.9482396,116.3337177,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329955.0,39.9482849,116.3337025,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329955.0,39.948331,116.3336876,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329961.0,39.9483741,116.3336757,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329961.0,39.9484152,116.3336666,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329961.0,39.9484542,116.333652,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329961.0,39.9484913,116.3336369,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329962.0,39.9485305,116.3336205,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329963.0,39.9485732,116.3336032,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329964.0,39.9486174,116.3335864,1.0319009,9.229648,1.4814123,0.03315633,0.056325816,-0.17883113,12090
1697515329976.0,39.9486694,116.3335752,0.24061728,9.42238,2.2523453,-0.16484955,0.16325165,-0.15459639,12091
1697515329976.0,39.9487203,116.3335637,0.24061728,9.42238,2.2523453,-0.16484955,0.16325165,-0.15459639,12091
1697515329997.0,39.9487705,116.3335509,-0.010773907,9.467272,2.8395233,-0.27310696,0.07270424,-0.090147935,12092
1697515330006.0,39.9488208,116.333536,-0.010773907,9.467272,2.8395233,-0.27310696,0.07270424,-0.090147935,12092
1697515330016.0,39.9488726,116.3335218,0.3393781,9.580399,3.4446578,-0.23262694,-0.18828535,-0.07736477,12093
1697515330024.0,39.9489236,116.3335038,0.3393781,9.580399,3.4446578,-0.23262694,-0.18828535,-0.07736477,12093
1697515330038.0,39.9489706,116.3334898,0.6087258,10.006566,2.8089972,-0.11651321,-0.18828535,-0.084954776,12094
1697515330714.0,39.949013,116.3334827,0.43275195,9.200917,2.4881742,-0.2619217,-0.18455693,0.046338968,12128
1697515332761.0,39.9490986,116.3334589,0.6374562,8.805874,2.8000188,-0.011984216,-0.24993747,-0.058190025,12230
1697515333687.0,39.9491435,116.3334495,0.24361002,9.93474,4.38917,-0.48469496,0.3600591,0.07603319,12276
1697515334708.0,39.9491816,116.3334449,1.6555905,7.863157,1.7818847,0.41212386,-0.15566164,0.09254478,12327
1697515335683.0,39.9492257,116.333428,0.64583594,9.412804,3.6391866,-0.040480018,0.09733847,-0.12410321,12376
1697515337730.0,39.9493196,116.3333877,1.1976994,9.533113,2.475006,-0.25379905,0.07017424,-0.034754228,12478
1697515339689.0,39.9494022,116.3333545,-0.50876784,9.91439,4.549582,-0.19108167,0.18322535,0.04500739,12576
1697515340695.0,39.9494372,116.3333459,0.9044097,9.030929,3.0424318,0.20160115,-0.29134962,-0.06964161,12626
1697515373863.0,39.9495068,116.3333241,0.5327099,8.980052,3.5296519,0.08002793,-0.28935224,-0.20732693,14283
1697515373876.0,39.9495368,116.3333254,0.5482722,9.217676,3.0759506,0.018775271,-0.28469172,-0.18162745,14284
1697515373876.0,39.9495569,116.3333256,0.5482722,9.217676,3.0759506,0.018775271,-0.28469172,-0.18162745,14284
1697515373882.0,39.949568,116.3333257,0.5482722,9.217676,3.0759506,0.018775271,-0.28469172,-0.18162745,14284
1697515373887.0,39.949572,116.3333252,0.5482722,9.217676,3.0759506,0.018775271,-0.28469172,-0.18162745,14284
1697515373889.0,39.9495714,116.3333237,0.60094464,9.35235,2.9179332,-0.08162583,-0.23129536,-0.13395691,14285
1697515373892.0,39.9495724,116.3333229,0.60094464,9.35235,2.9179332,-0.08162583,-0.23129536,-0.13395691,14285
1697515373894.0,39.9495742,116.3333226,0.60094464,9.35235,2.9179332,-0.08162583,-0.23129536,-0.13395691,14285
1697515373897.0,39.9495769,116.3333224,0.60094464,9.35235,2.9179332,-0.08162583,-0.23129536,-0.13395691,14285
1697515373900.0,39.9495798,116.3333235,0.60094464,9.35235,2.9179332,-0.08162583,-0.23129536,-0.13395691,14285
1697515373902.0,39.949584,116.3333264,0.60094464,9.35235,2.9179332,-0.08162583,-0.23129536,-0.13395691,14285
1697515373904.0,39.9495886,116.3333299,0.60094464,9.35235,2.9179332,-0.08162583,-0.23129536,-0.13395691,14285
1697515373905.0,39.9495929,116.3333344,0.60094464,9.35235,2.9179332,-0.08162583,-0.23129536,-0.13395691,14285
1697515373913.0,39.9495981,116.3333392,0.66020113,9.243414,3.2052376,-0.16072164,-0.17057534,-0.108923204,14286
